#Wavelength(nm) Transmission
350		0.001190931
350.5		0.00068963
351		0.001189998
351.5		0.001877156
352		0.001136442
352.5		0.001401667
353		0.001959546
353.5		0.00174631
354		0.001811136
354.5		0.000872821
355		0.001335922
355.5		0.00111929
356		0.001334297
356.5		0.001132039
357		0.001544407
357.5		0.001344775
358		0.002439077
358.5		0.001546199
359		0.002317364
359.5		0.000992592
360		0.001548149
360.5		0.001548442
361		0.000944031
361.5		0.001283349
362		0.002236901
362.5		0.002047851
363		0.002325911
363.5		0.000854122
364		0.001552573
364.5		0.000935534
365		0.001689855
365.5		0.002297015
366		0.000683448
366.5		0.002524434
367		0.000339572
367.5		0.001840451
368		0.000640472
368.5		0.000228072
369		0.001767187
369.5		0.000109869
370		0.000394927
370.5		0.002239827
371		0.002168936
371.5		0.002232267
372		0.002671853
372.5		0.004077137
373		0.004561498
373.5		0.008228854
374		0.013112923
374.5		0.024233602
375		0.044999443
375.5		0.082072176
376		0.145927236
376.5		0.260986835
377		0.452859193
377.5		0.759618759
378		1.248730302
378.5		1.956487417
379		2.973155975
379.5		4.390960693
380		6.235129356
380.5		8.59910965
381		11.44234085
381.5		14.71326542
382		18.34326744
382.5		22.2427845
383		26.31748962
383.5		30.56590271
384		34.63758087
384.5		38.68283463
385		42.45031738
385.5		45.9324913
386		49.20298386
386.5		52.11088181
387		54.7177124
387.5		57.10490799
388		59.17395401
388.5		60.97492981
389		62.59383011
389.5		64.03244781
390		65.32846832
390.5		66.4339447
391		67.44042969
391.5		68.3457489
392		69.12932587
392.5		69.82952118
393		70.46337891
393.5		71.07082367
394		71.6275177
394.5		72.09889221
395		72.50675201
395.5		72.92838287
396		73.3254776
396.5		73.66383362
397		74.02620697
397.5		74.34194946
398		74.6452713
398.5		74.93598175
399		75.2188797
399.5		75.46469116
400		75.71470642
400.5		75.91510773
401		76.1701889
401.5		76.35875702
402		76.54750824
402.5		76.73233795
403		76.92060089
403.5		77.09149933
404		77.2651062
404.5		77.42188263
405		77.59502411
405.5		77.71947479
406		77.86886597
406.5		77.98709869
407		78.11906433
407.5		78.24817657
408		78.34107971
408.5		78.42727661
409		78.53395081
409.5		78.63160706
410		78.72149658
410.5		78.79842377
411		78.87051392
411.5		78.93934631
412		79.00022888
412.5		79.0541687
413		79.10342407
413.5		79.15441132
414		79.20077515
414.5		79.22770691
415		79.28269196
415.5		79.30732727
416		79.35735321
416.5		79.40419769
417		79.45341492
417.5		79.51370239
418		79.54438019
418.5		79.58847809
419		79.64757538
419.5		79.66107941
420		79.66840363
420.5		79.68971252
421		79.69796753
421.5		79.69011688
422		79.68493652
422.5		79.64360809
423		79.67707062
423.5		79.64723969
424		79.57125092
424.5		79.55817413
425		79.50920105
425.5		79.46077728
426		79.43753052
426.5		79.37820435
427		79.33563232
427.5		79.29136658
428		79.24263763
428.5		79.20100403
429		79.13903809
429.5		79.07926178
430		79.0398941
430.5		78.97385406
431		78.91230011
431.5		78.85530853
432		78.77523041
432.5		78.69898987
433		78.61769104
433.5		78.52441406
434		78.46363831
434.5		78.34304047
435		78.26279449
435.5		78.15898895
436		78.05911255
436.5		77.98509216
437		77.87546539
437.5		77.7956543
438		77.70388794
438.5		77.62458038
439		77.53175354
439.5		77.42274475
440		77.35636139
440.5		77.26490784
441		77.14750671
441.5		77.02807617
442		76.9256897
442.5		76.79341888
443		76.65423584
443.5		76.5124054
444		76.3751297
444.5		76.22207642
445		76.05338287
445.5		75.88272858
446		75.73027039
446.5		75.53770447
447		75.35453796
447.5		75.15914917
448		74.96017456
448.5		74.75418091
449		74.52497864
449.5		74.30843353
450		74.07641602
450.5		73.8602829
451		73.6526413
451.5		73.4233017
452		73.21029663
452.5		73.01509857
453		72.78461456
453.5		72.582901
454		72.35832214
454.5		72.15752411
455		71.91506958
455.5		71.70049286
456		71.44125366
456.5		71.19281769
457		70.91161346
457.5		70.64391327
458		70.33210754
458.5		70.0250473
459		69.69960785
459.5		69.3926239
460		69.03887939
460.5		68.69231415
461		68.32331085
461.5		67.94929504
462		67.55648804
462.5		67.14293671
463		66.74669647
463.5		66.31185913
464		65.85409546
464.5		65.38604736
465		64.88441467
465.5		64.37474823
466		63.81478882
466.5		63.25811768
467		62.66930771
467.5		62.06320953
468		61.44313812
468.5		60.80535507
469		60.14781189
469.5		59.47816467
470		58.78376389
470.5		58.09729004
471		57.41687012
471.5		56.72178268
472		55.99865341
472.5		55.30836105
473		54.57733154
473.5		53.8521843
474		53.13516235
474.5		52.37601471
475		51.64573288
475.5		50.9190979
476		50.16150665
476.5		49.39008331
477		48.63081741
477.5		47.86668015
478		47.10332108
478.5		46.31966782
479		45.56961441
479.5		44.76101685
480		43.97419739
480.5		43.1873436
481		42.38645554
481.5		41.58885956
482		40.80279922
482.5		39.98477936
483		39.20676041
483.5		38.41182709
484		37.61472702
484.5		36.84725571
485		36.0572052
485.5		35.28695679
486		34.51999283
486.5		33.76067352
487		33.01993561
487.5		32.29627609
488		31.56943893
488.5		30.86584473
489		30.17393875
489.5		29.50319862
490		28.83062744
490.5		28.17329216
491		27.54945374
491.5		26.93482018
492		26.32121086
492.5		25.74675751
493		25.16630363
493.5		24.61133385
494		24.08431435
494.5		23.54051971
495		23.0478096
495.5		22.55972481
496		22.08304405
496.5		21.62613678
497		21.1842308
497.5		20.75571823
498		20.32149506
498.5		19.89101791
499		19.4687748
499.5		19.04973221
500		18.61493301
500.5		18.19305229
501		17.74962616
501.5		17.3069725
502		16.85318756
502.5		16.37598801
503		15.90761375
503.5		15.43394279
504		14.94701099
504.5		14.47405243
505		13.98432541
505.5		13.51279163
506		13.05313301
506.5		12.59315586
507		12.15857983
507.5		11.72822189
508		11.30656815
508.5		10.910285
509		10.52681637
509.5		10.15825748
510		9.814853668
510.5		9.480935097
511		9.150234222
511.5		8.840752602
512		8.529755592
512.5		8.234342575
513		7.952643871
513.5		7.669174671
514		7.39888382
514.5		7.128241539
515		6.864009857
515.5		6.604869843
516		6.347425461
516.5		6.102743149
517		5.85759449
517.5		5.615401268
518		5.38891983
518.5		5.156366348
519		4.932483196
519.5		4.720544338
520		4.507156849
520.5		4.308933258
521		4.107953072
521.5		3.914051056
522		3.730541468
522.5		3.55762887
523		3.388067007
523.5		3.223989248
524		3.067620754
524.5		2.917911053
525		2.776194096
525.5		2.640544891
526		2.512291908
526.5		2.391056776
527		2.277125835
527.5		2.170695305
528		2.068593502
528.5		1.97639358
529		1.888394713
529.5		1.805805445
530		1.731033444
530.5		1.658714414
531		1.592131138
531.5		1.531370044
532		1.475508809
532.5		1.425877213
533		1.377410769
533.5		1.333615541
534		1.293794513
534.5		1.256781101
535		1.225167155
535.5		1.194953442
536		1.167917848
536.5		1.143485069
537		1.121748567
537.5		1.101833582
538		1.084969401
538.5		1.068955421
539		1.056008935
539.5		1.047977328
540		1.036952496
540.5		1.030732632
541		1.027190685
541.5		1.023627877
542		1.023851991
542.5		1.025954127
543		1.031114459
543.5		1.036427736
544		1.044174194
544.5		1.055858493
545		1.067498326
545.5		1.082537532
546		1.105589747
546.5		1.124201775
547		1.149372339
547.5		1.174058437
548		1.202042222
548.5		1.234205484
549		1.266725779
549.5		1.303040385
550		1.340047717
550.5		1.38329649
551		1.423818827
551.5		1.467371106
552		1.511956453
552.5		1.558232903
553		1.603392482
553.5		1.65069437
554		1.695884705
554.5		1.738748908
555		1.782095075
555.5		1.821636558
556		1.861081123
556.5		1.892751217
557		1.923221707
557.5		1.952766299
558		1.972477913
558.5		1.990277648
559		2.0026443
559.5		2.01377058
560		2.016822815
560.5		2.017266989
561		2.009736538
561.5		2.001529932
562		1.986880183
562.5		1.96879971
563		1.946645975
563.5		1.918904662
564		1.890330553
564.5		1.857162476
565		1.821934819
565.5		1.777629137
566		1.736610413
566.5		1.688166499
567		1.638822317
567.5		1.589765906
568		1.534520507
568.5		1.481508851
569		1.4201684
569.5		1.367321014
570		1.307380319
570.5		1.25062418
571		1.190333486
571.5		1.131899714
572		1.071773171
572.5		1.013497829
573		0.953620017
573.5		0.898135245
574		0.842751861
574.5		0.788767815
575		0.736278951
575.5		0.686622262
576		0.637142897
576.5		0.589569449
577		0.546936572
577.5		0.504540741
578		0.466278613
578.5		0.429112375
579		0.393854678
579.5		0.362032712
580		0.330096334
580.5		0.30235517
581		0.274196386
581.5		0.250709057
582		0.228133798
582.5		0.208804041
583		0.187609226
583.5		0.172709972
584		0.157603085
584.5		0.143362507
585		0.129566163
585.5		0.118904144
586		0.108060055
586.5		0.102002136
587		0.092565738
587.5		0.086843967
588		0.07890559
588.5		0.074397154
589		0.070304319
589.5		0.066085786
590		0.061729766
590.5		0.059556846
591		0.057463087
591.5		0.053323817
592		0.052532002
592.5		0.051973674
593		0.049205363
593.5		0.049188007
594		0.046060123
594.5		0.047308624
595		0.045032151
595.5		0.046345241
596		0.046395246
596.5		0.046769153
597		0.047173183
597.5		0.045900796
598		0.045750909
598.5		0.046074253
599		0.046676219
